"CONTRACT_ID","PLAYER_ID","TEAM_ID","START_DATE","END_DATE","SALARY"
100000369,10000048,1000000006,2024-09-06 16:04:23.000,2027-09-06 16:00:00.000,2100000
100000361,10000045,1000000004,2024-09-05 23:22:12.000,2027-09-05 00:00:00.000,12320000
100000231,10000027,1000000003,2022-02-14 00:00:00.000,2026-10-24 00:00:00.000,270000
100000232,10000020,1000000003,2023-05-03 00:00:00.000,2025-05-26 00:00:00.000,404000
100000233,10000028,1000000003,2023-04-25 00:00:00.000,2025-02-15 00:00:00.000,530000
100000234,10000023,1000000003,2022-02-23 00:00:00.000,2026-02-19 00:00:00.000,312000
100000235,10000030,1000000003,2022-02-20 00:00:00.000,2026-08-16 00:00:00.000,463000
100000236,10000050,1000000002,2023-01-23 00:00:00.000,2025-08-03 00:00:00.000,513000
100000237,10000051,1000000002,2022-01-12 00:00:00.000,2026-01-19 00:00:00.000,518000
100000238,10000052,1000000002,2022-04-11 00:00:00.000,2026-01-15 00:00:00.000,281000
100000239,10000053,1000000002,2022-05-09 00:00:00.000,2025-11-16 00:00:00.000,461000
100000240,10000054,1000000002,2023-01-10 00:00:00.000,2026-04-08 00:00:00.000,201000
100000241,10000055,1000000002,2022-06-07 00:00:00.000,2025-04-17 00:00:00.000,406000
100000242,10000056,1000000002,2022-04-08 00:00:00.000,2026-02-15 00:00:00.000,294000
100000243,10000057,1000000002,2023-04-12 00:00:00.000,2027-03-01 00:00:00.000,365000
100000244,10000058,1000000002,2023-01-01 00:00:00.000,2026-03-02 00:00:00.000,485000
100000245,10000059,1000000002,2023-06-11 00:00:00.000,2025-05-08 00:00:00.000,208000
100000246,10000060,1000000003,2022-04-22 00:00:00.000,2027-02-11 00:00:00.000,544000
100000247,10000061,1000000003,2023-05-23 00:00:00.000,2026-09-10 00:00:00.000,350000
100000248,10000062,1000000003,2023-03-06 00:00:00.000,2027-07-08 00:00:00.000,324000
100000249,10000063,1000000003,2022-05-05 00:00:00.000,2025-04-18 00:00:00.000,427000
100000250,10000064,1000000003,2023-04-27 00:00:00.000,2025-02-25 00:00:00.000,515000
100000251,10000065,1000000003,2023-03-21 00:00:00.000,2025-06-02 00:00:00.000,350000
100000252,10000066,1000000003,2022-02-26 00:00:00.000,2026-10-11 00:00:00.000,466000
100000253,10000067,1000000003,2023-03-16 00:00:00.000,2026-10-17 00:00:00.000,385000
100000254,10000068,1000000003,2023-02-24 00:00:00.000,2026-04-04 00:00:00.000,497000
100000255,10000069,1000000003,2022-01-24 00:00:00.000,2025-10-15 00:00:00.000,303000
100000256,10000070,1000000004,2023-06-27 00:00:00.000,2027-11-15 00:00:00.000,421000
100000257,10000071,1000000004,2022-05-15 00:00:00.000,2025-08-23 00:00:00.000,438000
100000258,10000072,1000000004,2022-06-13 00:00:00.000,2027-06-01 00:00:00.000,556000
100000259,10000073,1000000004,2023-02-20 00:00:00.000,2026-04-11 00:00:00.000,386000
100000260,10000074,1000000004,2023-05-02 00:00:00.000,2025-04-22 00:00:00.000,237000
100000261,10000075,1000000004,2022-03-12 00:00:00.000,2027-01-11 00:00:00.000,490000
100000262,10000076,1000000004,2023-01-26 00:00:00.000,2025-04-20 00:00:00.000,549000
100000263,10000077,1000000004,2022-06-17 00:00:00.000,2025-06-17 00:00:00.000,350000
100000264,10000078,1000000004,2023-02-06 00:00:00.000,2025-05-27 00:00:00.000,340000
100000265,10000079,1000000004,2023-04-01 00:00:00.000,2027-06-03 00:00:00.000,533000
100000378,10000002,1000000001,2024-09-07 05:24:33.000,2027-09-06 16:00:00.000,1000000
100000341,10000049,1000000007,2024-09-05 00:00:00.000,2026-09-05 00:00:00.000,25420000
100000268,10000001,1000000003,2022-05-07 00:00:00.000,2025-06-14 00:00:00.000,356000
100000269,10000003,1000000003,2023-03-22 00:00:00.000,2026-05-03 00:00:00.000,216000
100000270,10000004,1000000003,2023-03-17 00:00:00.000,2026-03-08 00:00:00.000,232000
100000271,10000005,1000000003,2022-01-20 00:00:00.000,2026-11-05 00:00:00.000,230000
100000272,10000006,1000000003,2023-06-17 00:00:00.000,2026-11-19 00:00:00.000,404000
100000273,10000007,1000000003,2022-01-05 00:00:00.000,2026-02-08 00:00:00.000,226000
100000274,10000008,1000000003,2023-03-16 00:00:00.000,2025-02-12 00:00:00.000,560000
100000276,10000081,1000000001,2023-05-17 00:00:00.000,2025-11-04 00:00:00.000,384000
100000277,10000082,1000000001,2023-02-08 00:00:00.000,2026-08-17 00:00:00.000,552000
100000278,10000083,1000000001,2022-01-16 00:00:00.000,2026-01-23 00:00:00.000,258000
100000279,10000084,1000000001,2022-01-05 00:00:00.000,2025-06-02 00:00:00.000,494000
100000280,10000085,1000000001,2022-02-23 00:00:00.000,2025-04-15 00:00:00.000,320000
100000281,10000086,1000000001,2023-04-27 00:00:00.000,2027-10-11 00:00:00.000,284000
100000282,10000087,1000000001,2022-01-03 00:00:00.000,2025-02-19 00:00:00.000,584000
100000283,10000088,1000000001,2022-04-25 00:00:00.000,2026-09-03 00:00:00.000,472000
100000284,10000089,1000000001,2023-04-10 00:00:00.000,2026-04-22 00:00:00.000,524000
100000285,10000090,1000000005,2023-05-17 00:00:00.000,2026-01-19 00:00:00.000,586000
100000286,10000091,1000000005,2022-01-27 00:00:00.000,2026-08-04 00:00:00.000,538000
100000287,10000092,1000000005,2022-02-07 00:00:00.000,2025-07-13 00:00:00.000,568000
100000288,10000093,1000000005,2022-03-04 00:00:00.000,2025-08-20 00:00:00.000,515000
100000289,10000094,1000000005,2022-02-23 00:00:00.000,2025-04-13 00:00:00.000,515000
100000290,10000095,1000000005,2023-06-02 00:00:00.000,2025-04-04 00:00:00.000,215000
100000291,10000096,1000000005,2023-05-06 00:00:00.000,2027-09-02 00:00:00.000,523000
100000292,10000097,1000000005,2023-06-06 00:00:00.000,2025-11-13 00:00:00.000,339000
100000293,10000098,1000000005,2022-01-10 00:00:00.000,2025-10-24 00:00:00.000,378000
100000294,10000099,1000000005,2023-02-10 00:00:00.000,2026-05-20 00:00:00.000,361000
100000295,10000100,1000000006,2022-01-16 00:00:00.000,2027-09-23 00:00:00.000,273000
100000296,10000101,1000000006,2023-06-06 00:00:00.000,2026-01-25 00:00:00.000,327000
100000297,10000102,1000000006,2023-02-07 00:00:00.000,2025-03-19 00:00:00.000,576000
100000298,10000103,1000000006,2023-05-22 00:00:00.000,2027-02-18 00:00:00.000,563000
100000299,10000104,1000000006,2022-03-04 00:00:00.000,2025-08-09 00:00:00.000,215000
100000300,10000105,1000000006,2023-04-17 00:00:00.000,2027-11-06 00:00:00.000,299000
100000301,10000106,1000000006,2022-06-03 00:00:00.000,2025-05-04 00:00:00.000,222000
100000302,10000107,1000000006,2023-02-11 00:00:00.000,2027-04-06 00:00:00.000,290000
100000303,10000108,1000000006,2023-03-06 00:00:00.000,2026-04-24 00:00:00.000,408000
100000304,10000109,1000000006,2023-05-17 00:00:00.000,2027-01-18 00:00:00.000,380000
100000305,10000110,1000000007,2023-05-04 00:00:00.000,2025-03-09 00:00:00.000,576000
100000306,10000111,1000000007,2023-06-05 00:00:00.000,2026-02-16 00:00:00.000,331000
100000307,10000112,1000000007,2023-03-21 00:00:00.000,2027-08-25 00:00:00.000,391000
100000308,10000113,1000000007,2023-02-24 00:00:00.000,2025-08-15 00:00:00.000,501000
100000309,10000114,1000000007,2023-01-02 00:00:00.000,2027-11-14 00:00:00.000,480000
100000310,10000115,1000000007,2022-05-12 00:00:00.000,2027-10-13 00:00:00.000,498000
100000311,10000116,1000000007,2022-02-16 00:00:00.000,2025-01-02 00:00:00.000,402000
100000312,10000117,1000000007,2022-05-15 00:00:00.000,2025-03-26 00:00:00.000,476000
100000314,10000119,1000000007,2022-05-22 00:00:00.000,2026-04-15 00:00:00.000,290000
100000315,10000022,1000000003,2023-03-08 00:00:00.000,2027-01-08 00:00:00.000,574000
100000316,10000024,1000000003,2022-05-11 00:00:00.000,2027-10-07 00:00:00.000,208000
100000317,10000025,1000000003,2022-05-12 00:00:00.000,2027-02-09 00:00:00.000,484000
100000319,10000032,1000000003,2022-04-17 00:00:00.000,2025-06-11 00:00:00.000,532000
100000323,10000037,1000000003,2022-04-03 00:00:00.000,2025-04-18 00:00:00.000,505000
100000324,10000038,1000000003,2022-02-09 00:00:00.000,2027-08-17 00:00:00.000,237000
100000325,10000039,1000000003,2023-06-20 00:00:00.000,2025-08-04 00:00:00.000,521000
100000326,10000040,1000000003,2023-01-26 00:00:00.000,2026-01-12 00:00:00.000,201000
100000327,10000041,1000000003,2022-04-22 00:00:00.000,2025-09-17 00:00:00.000,352000
100000376,10000042,1000000007,2024-09-07 04:31:17.000,2027-09-06 16:00:00.000,10000000
100000377,10000046,1000000007,2024-09-05 21:38:06.000,2027-09-05 00:00:00.000,12345678
100000368,10000047,1000000006,2024-09-06 16:00:54.000,2027-09-06 16:00:00.000,1200000
100000331,10000080,1000000007,2024-09-05 00:00:00.000,2027-05-25 00:00:00.000,900000
100000374,10000019,1000000006,2024-09-07 04:06:01.000,2027-09-06 16:00:00.000,1000000
100000375,10000009,1000000006,2024-09-07 04:07:44.000,2027-09-06 16:00:00.000,1000000
