"MATCH_ID","MATCH_DATE","MATCH_STADIUM","HOME_TEAM_ID","AWAY_TEAM_ID","HOME_TEAM_SCORE","AWAY_TEAM_SCORE"
1000000012,2024-06-09 00:00:00.000,10004,1000000001,1000000002,2,2
1000000013,2024-09-09 00:00:00.000,10007,1000000001,1000000003,3,2
1000000014,2024-09-06 00:00:00.000,10005,1000000001,1000000004,0,3
1000000015,2024-05-21 00:00:00.000,10001,1000000001,1000000005,2,1
1000000016,2024-07-22 00:00:00.000,10006,1000000001,1000000006,1,0
1000000017,2024-07-27 00:00:00.000,10005,1000000001,1000000007,2,3
1000000018,2024-11-17 00:00:00.000,10001,1000000002,1000000001,1,1
1000000019,2024-04-15 00:00:00.000,10001,1000000002,1000000003,3,2
1000000020,2024-04-16 00:00:00.000,10001,1000000002,1000000004,2,3
1000000021,2024-04-21 00:00:00.000,10007,1000000002,1000000005,3,1
1000000022,2024-02-06 00:00:00.000,10002,1000000002,1000000006,3,2
1000000023,2024-06-12 00:00:00.000,10001,1000000002,1000000007,0,1
1000000024,2024-05-03 00:00:00.000,10007,1000000003,1000000001,3,3
1000000025,2024-04-18 00:00:00.000,10007,1000000003,1000000002,1,3
1000000026,2024-01-08 00:00:00.000,10003,1000000003,1000000004,2,0
1000000027,2024-04-17 00:00:00.000,10002,1000000003,1000000005,0,0
1000000028,2024-09-13 00:00:00.000,10006,1000000003,1000000006,3,2
1000000029,2024-05-04 00:00:00.000,10005,1000000003,1000000007,1,2
1000000030,2024-05-24 00:00:00.000,10004,1000000004,1000000001,3,1
1000000031,2024-01-13 00:00:00.000,10003,1000000004,1000000002,2,0
1000000032,2024-08-19 00:00:00.000,10007,1000000004,1000000003,1,0
1000000033,2024-09-08 00:00:00.000,10005,1000000004,1000000005,0,3
1000000034,2024-11-13 00:00:00.000,10007,1000000004,1000000006,3,0
1000000035,2024-06-21 00:00:00.000,10003,1000000004,1000000007,2,1
1000000036,2024-02-09 00:00:00.000,10003,1000000005,1000000001,3,2
1000000037,2024-06-20 00:00:00.000,10003,1000000005,1000000002,0,2
1000000038,2024-11-20 00:00:00.000,10006,1000000005,1000000003,0,1
1000000039,2024-02-17 00:00:00.000,10004,1000000005,1000000004,1,3
1000000040,2024-10-25 00:00:00.000,10005,1000000005,1000000006,1,2
1000000041,2024-02-02 00:00:00.000,10001,1000000005,1000000007,0,0
1000000042,2024-04-21 00:00:00.000,10004,1000000006,1000000001,3,3
1000000043,2024-05-11 00:00:00.000,10003,1000000006,1000000002,2,0
1000000044,2024-06-26 00:00:00.000,10005,1000000006,1000000003,3,3
1000000045,2024-07-23 00:00:00.000,10001,1000000006,1000000004,2,2
1000000046,2024-05-14 00:00:00.000,10002,1000000006,1000000005,0,2
1000000047,2024-03-26 00:00:00.000,10004,1000000006,1000000007,3,3
1000000048,2024-03-21 00:00:00.000,10005,1000000007,1000000001,2,2
1000000049,2024-05-17 00:00:00.000,10002,1000000007,1000000002,2,0
1000000050,2024-01-24 00:00:00.000,10007,1000000007,1000000003,0,2
1000000051,2024-08-23 00:00:00.000,10002,1000000007,1000000004,1,0
1000000052,2024-08-19 00:00:00.000,10004,1000000007,1000000005,1,0
1000000053,2024-03-11 00:00:00.000,10006,1000000007,1000000006,1,2
