"TRANSFER_ID","CONTRACT_ID","PLAYER_ID","TEAM_ID_FROM","TEAM_ID_TO","TRANSFER_DATE","TRANSFER_FEES"
10000009,100000341,10000049,1000000007,1000000003,2024-09-05 00:00:00.000,12200000
10000041,100000374,10000019,1000000006,1000000007,2024-09-07 04:06:01.000,1000000
10000029,100000361,10000045,1000000007,1000000004,2024-09-05 23:22:12.000,12230000
10000001,100000333,10000080,1000000007,1000000001,2024-09-05 00:00:00.000,238941
10000037,100000369,10000048,1000000006,1000000007,2024-09-06 16:04:23.000,41200000
10000042,100000375,10000009,1000000006,1000000007,2024-09-07 04:07:44.000,1000000
10000043,100000376,10000042,1000000007,1000000004,2024-09-07 04:31:17.000,10000000
10000044,100000377,10000046,1000000007,1000000006,2024-09-05 21:38:06.000,12345678
10000036,100000368,10000047,1000000006,1000000007,2024-09-06 16:00:54.000,12300000
10000045,100000378,10000002,1000000001,1000000007,2024-09-07 05:24:33.000,1000000
