"LINEUP_ID","NOTE","TEAM_ID","PLAYER1_ID","PLAYER2_ID","PLAYER3_ID","PLAYER4_ID","PLAYER5_ID","PLAYER6_ID","PLAYER7_ID","PLAYER8_ID","PLAYER9_ID","PLAYER10_ID","PLAYER11_ID"
100067,四后卫阵容,1000000005,10000091,10000095,10000099,10000134,10000098,10000094,10000090,10000135,10000132,10000096,10000093
100069,高球进攻阵容,1000000005,10000091,10000095,10000134,10000098,10000094,10000090,10000132,10000097,10000136,10000092,10000093
100077,进攻阵容,1000000002,10000053,10000054,10000050,10000056,10000052,10000051,10000129,10000059,10000131,10000057,10000058
100070,"433阵容",1000000005,10000091,10000095,10000134,10000098,10000094,10000090,10000132,10000097,10000136,10000093,10000133
100106,控球阵容,1000000003,10000069,10000068,10000067,10000063,10000064,10000060,10000041,10000037,10000038,10000039,10000040
100075,边路进攻阵容,1000000002,10000053,10000054,10000050,10000055,10000128,10000057,10000058,10000056,10000052,10000051,10000131
100076,平衡进攻容阵容,1000000002,10000053,10000054,10000050,10000055,10000057,10000056,10000052,10000051,10000131,10000129,10000058
100078,左路渗透阵容,1000000002,10000053,10000050,10000056,10000051,10000129,10000059,10000131,10000057,10000058,10000052,10000128
100068,防守反击阵容,1000000005,10000091,10000095,10000099,10000134,10000098,10000094,10000090,10000132,10000096,10000097,10000136
100114,防守反击阵容,1000000007,10000110,10000118,10000119,10000046,10000049,10000112,10000116,10000111,10000117,10000113,10000042
100098,防守反击阵容,1000000006,10000109,10000105,10000102,10000047,10000103,10000048,10000100,10000104,10000107,10000106,10000101
100110,边路进攻阵容,1000000007,10000110,10000111,10000115,10000119,10000118,10000114,10000116,10000112,10000113,10000080,10000049
100113,高位逼抢阵容,1000000007,10000110,10000114,10000118,10000119,10000115,10000046,10000049,10000112,10000116,10000111,10000117
100104,边路进攻阵容,1000000003,10000060,10000064,10000068,10000069,10000065,10000061,10000062,10000066,10000040,10000039,10000038
